iter	Logloss
0	0.6351316582
1	0.5661368537
2	0.5544236377
3	0.5494568609
4	0.5440719681
5	0.5405738237
6	0.5377435076
7	0.5360802848
8	0.5336966207
9	0.5314413708
10	0.5301649165
11	0.5286105196
12	0.5275331322
13	0.5223725942
14	0.5213199931
15	0.5204935925
16	0.5196693684
17	0.5186104902
18	0.5178347983
19	0.5167810551
20	0.5161481043
21	0.5154921787
22	0.5146689027
23	0.5134144773
24	0.5123895016
25	0.5117293492
26	0.5106075315
27	0.5099527375
28	0.5089309761
29	0.5081370834
30	0.506961936
31	0.5061021617
32	0.5053449735
33	0.5045456709
34	0.5038086853
35	0.5029939056
36	0.5019412116
37	0.5011596775
38	0.5005090821
39	0.4997917007
40	0.4989159336
41	0.4983046476
42	0.4975881879
43	0.4967930369
44	0.496044046
45	0.4950418961
46	0.4941913519
47	0.4934526742
48	0.4926911841
49	0.4919584813
50	0.4911877958
51	0.4903578368
52	0.4895010265
53	0.4887590728
54	0.4879955752
55	0.4872413362
56	0.4866866913
57	0.4858763807
58	0.4850616504
59	0.4841763697
60	0.4832074545
61	0.4822868117
62	0.4816356156
63	0.4809432333
64	0.4805058592
65	0.4798889254
66	0.4789880175
67	0.4783553453
68	0.4776363284
69	0.4768601073
70	0.4764119613
71	0.4758896541
72	0.4750028482
73	0.4744254988
74	0.4738357921
75	0.4731684826
76	0.47256278
77	0.4720376029
78	0.4713955568
79	0.4707340369
80	0.4701297387
81	0.4696275379
82	0.4688982151
83	0.4680649038
84	0.4676979033
85	0.4669397392
86	0.4663386224
87	0.4656222337
88	0.4650470884
89	0.4644724415
90	0.4636293634
91	0.4629690937
92	0.4623384778
93	0.4618203755
94	0.4613107487
95	0.4608748037
96	0.4604167604
97	0.459909668
98	0.4590982922
99	0.4586034293
100	0.4581091211
101	0.4576343072
102	0.4570804543
103	0.4563993523
104	0.4557935827
105	0.4551395413
106	0.4545102413
107	0.4539699619
108	0.453458471
109	0.4529654282
110	0.4523875667
111	0.4519425786
112	0.4513538279
113	0.4509009401
114	0.4503713212
115	0.4498966988
116	0.4494182175
117	0.4487889832
118	0.4482095826
119	0.447787763
120	0.447154102
121	0.446572948
122	0.4459721813
123	0.4453880158
124	0.444953057
125	0.4444147479
126	0.4440042764
127	0.4435194694
128	0.4426660569
129	0.4420887642
130	0.4416040222
131	0.4410842586
132	0.4407368075
133	0.4401894698
134	0.4392972219
135	0.438632519
136	0.4381218867
137	0.4377996495
138	0.4373260488
139	0.4369226189
140	0.4364492925
141	0.4360126815
142	0.4354751195
143	0.4349799778
144	0.4344953966
145	0.4340556922
146	0.4337125611
147	0.4332117364
148	0.4325527675
149	0.4319602029
150	0.4314116039
151	0.4310710767
152	0.4307459887
153	0.4304535105
154	0.4299093055
155	0.429501265
156	0.4289102216
157	0.4284397666
158	0.4280330548
159	0.4275166104
160	0.4269940418
161	0.4266752544
162	0.4262920393
163	0.4258257922
164	0.4253303932
165	0.4247976747
166	0.4241362758
167	0.4236059028
168	0.4230631823
169	0.4226703842
170	0.4222659654
171	0.4220006302
172	0.4215146977
173	0.4210107215
174	0.4204985418
175	0.419953578
176	0.4195971075
177	0.4191006618
178	0.4185749952
179	0.4181087166
180	0.4176331178
181	0.4171216099
182	0.4165344165
183	0.4161792461
184	0.4156118146
185	0.414945794
186	0.4143887124
187	0.4140130445
188	0.4136754882
189	0.4131131689
190	0.4126872537
191	0.4121241788
192	0.4116358523
193	0.4111885169
194	0.4108155096
195	0.4103646594
196	0.4099960788
197	0.4096464073
198	0.4092737328
199	0.4087761759
200	0.4084097548
201	0.4079243634
202	0.407745181
203	0.4073398849
204	0.4068272265
205	0.4064712521
206	0.4060954284
207	0.4056583056
208	0.4053461644
209	0.4049472529
210	0.4045292509
211	0.4040806647
212	0.4037515755
213	0.4034020028
214	0.4029870456
215	0.4026290519
216	0.4021391019
217	0.4016465035
218	0.4011487819
219	0.4007666122
220	0.4004375575
221	0.4000038021
222	0.3995374419
223	0.3991263689
224	0.3987261266
225	0.3983819011
226	0.3979713534
227	0.3975539089
228	0.3971483385
229	0.3967268775
230	0.3962226131
231	0.3959518467
232	0.3954452297
233	0.3950552081
234	0.3946868002
235	0.3943762969
236	0.3941078953
237	0.3936875626
238	0.3931395746
239	0.3926940289
240	0.3923486978
241	0.3919757785
242	0.391579292
243	0.3912294764
244	0.3909790167
245	0.3905280051
246	0.3902368356
247	0.3899057689
248	0.3895554436
249	0.389045824
250	0.388610897
251	0.3882233062
252	0.3876918894
253	0.3872704473
254	0.3869411636
255	0.3864537392
256	0.3861129708
257	0.3856035349
258	0.3851230042
259	0.3847165966
260	0.3841860634
261	0.3837778609
262	0.3832881219
263	0.3829999452
264	0.3825827852
265	0.3822077022
266	0.381757735
267	0.3813382989
268	0.3810284574
269	0.3807350705
270	0.3802885909
271	0.3798795155
272	0.3794793404
273	0.3790197016
274	0.3786453963
275	0.3782805261
276	0.3779378946
277	0.3775460153
278	0.3772636548
279	0.3769655121
280	0.3765504823
281	0.3762165132
282	0.3758510673
283	0.3755261581
284	0.375133756
285	0.3746260356
286	0.3742494717
287	0.3738782728
288	0.3734736302
289	0.3731574064
290	0.3726041042
291	0.3722103493
292	0.3718217162
293	0.371382798
294	0.3711816377
295	0.3706534541
296	0.3703115201
297	0.3698643025
298	0.3695503077
299	0.3691655786
300	0.3688238683
301	0.3684645938
302	0.3680178078
303	0.3676843659
304	0.3673146318
305	0.3669548639
306	0.3664912442
307	0.3660838893
308	0.3657730028
309	0.365404021
310	0.3651206192
311	0.3647134396
312	0.3642579008
313	0.3639166415
314	0.363634813
315	0.3632214362
316	0.3628359727
317	0.3625755229
318	0.3620929761
319	0.3617358212
320	0.3614689126
321	0.3611608721
322	0.3608731197
323	0.3605478347
324	0.3601169488
325	0.3599038678
326	0.3596359308
327	0.3592491045
328	0.3588221752
329	0.3583889992
330	0.3580015903
331	0.3575131392
332	0.3571020515
333	0.356772645
334	0.356482939
335	0.3560867179
336	0.3557416298
337	0.3553455517
338	0.3548437195
339	0.3546325799
340	0.3542475209
341	0.353839181
342	0.3534158112
343	0.3530516596
344	0.3526110763
345	0.3520186965
346	0.3517765202
347	0.3514053371
348	0.3511336208
349	0.3506880831
350	0.3503452478
351	0.3498861906
352	0.3495520803
353	0.3491690275
354	0.3488586011
355	0.3485363609
356	0.3480793286
357	0.3477982409
358	0.3475801616
359	0.3472690922
360	0.346905326
361	0.3466367903
362	0.3461775359
