iter	Passed	Remaining
0	9	9542
1	16	8415
2	23	7932
3	31	7884
4	40	8091
5	48	7983
6	56	8008
7	64	7969
8	72	7968
9	80	7999
10	90	8144
11	97	7979
12	105	7987
13	112	7926
14	119	7863
15	127	7844
16	135	7799
17	142	7767
18	148	7651
19	155	7615
20	164	7638
21	172	7635
22	180	7668
23	190	7713
24	198	7735
25	207	7745
26	214	7713
27	221	7671
28	230	7712
29	239	7738
30	246	7704
31	254	7689
32	261	7656
33	269	7642
34	277	7631
35	285	7624
36	293	7620
37	300	7594
38	308	7584
39	316	7568
40	323	7555
41	331	7554
42	339	7534
43	347	7529
44	355	7518
45	362	7501
46	369	7476
47	384	7613
48	399	7746
49	408	7751
50	420	7802
51	428	7790
52	437	7793
53	444	7771
54	451	7747
55	459	7724
56	465	7690
57	472	7654
58	481	7669
59	489	7647
60	496	7624
61	504	7614
62	511	7598
63	519	7577
64	526	7558
65	533	7539
66	540	7508
67	547	7490
68	554	7468
69	561	7438
70	568	7420
71	575	7395
72	581	7367
73	588	7346
74	595	7333
75	604	7330
76	611	7317
77	618	7300
78	625	7282
79	632	7253
80	639	7237
81	645	7215
82	652	7191
83	658	7168
84	665	7148
85	672	7131
86	679	7119
87	687	7108
88	695	7100
89	702	7084
90	709	7072
91	717	7062
92	724	7050
93	732	7039
94	739	7028
95	746	7014
96	753	6998
97	760	6986
98	767	6972
99	775	6959
100	782	6949
101	789	6936
102	797	6929
103	804	6914
104	811	6903
105	819	6892
106	826	6881
107	833	6870
108	840	6858
109	848	6849
110	855	6838
111	863	6827
112	871	6822
113	878	6810
114	885	6798
115	893	6793
116	901	6785
117	908	6774
118	914	6756
119	921	6741
120	928	6731
121	936	6723
122	943	6711
123	950	6699
124	958	6694
125	965	6682
126	972	6672
127	980	6665
128	987	6654
129	995	6646
130	1002	6633
131	1009	6624
132	1018	6621
133	1025	6615
134	1033	6605
135	1040	6594
136	1048	6590
137	1056	6585
138	1065	6582
139	1072	6573
140	1080	6568
141	1088	6560
142	1096	6554
143	1103	6546
144	1110	6533
145	1117	6523
146	1125	6514
147	1131	6500
148	1138	6487
149	1145	6478
150	1153	6468
151	1160	6459
152	1167	6449
153	1173	6430
154	1180	6419
155	1187	6409
156	1195	6402
157	1202	6393
158	1210	6385
159	1217	6376
160	1224	6366
161	1231	6357
162	1238	6345
163	1245	6335
164	1253	6326
165	1260	6315
166	1267	6306
167	1274	6297
168	1281	6286
169	1288	6275
170	1295	6266
171	1302	6256
172	1310	6247
173	1318	6241
174	1325	6232
175	1332	6221
176	1338	6210
177	1345	6199
178	1353	6191
179	1360	6181
180	1367	6172
181	1374	6161
182	1381	6151
183	1388	6141
184	1396	6136
185	1404	6130
186	1414	6135
187	1422	6127
188	1429	6119
189	1436	6109
190	1443	6099
191	1451	6094
192	1460	6093
193	1470	6092
194	1478	6089
195	1487	6086
196	1495	6079
197	1502	6070
198	1512	6072
199	1521	6069
200	1529	6063
201	1536	6056
202	1544	6047
203	1550	6036
204	1557	6024
205	1564	6014
206	1571	6003
207	1579	5999
208	1587	5994
209	1594	5984
210	1601	5974
211	1609	5967
212	1617	5962
213	1624	5951
214	1631	5939
215	1637	5928
216	1644	5918
217	1651	5908
218	1658	5897
219	1664	5885
220	1671	5876
221	1678	5866
222	1685	5856
223	1691	5845
224	1698	5836
225	1705	5824
226	1716	5828
227	1722	5818
228	1731	5813
229	1741	5815
230	1750	5813
231	1761	5815
232	1770	5812
233	1781	5816
234	1792	5821
235	1801	5815
236	1810	5813
237	1819	5810
238	1828	5805
239	1835	5798
240	1844	5792
241	1852	5788
242	1860	5781
243	1868	5773
244	1876	5766
245	1883	5758
246	1891	5750
247	1898	5740
248	1904	5729
249	1911	5718
250	1918	5708
251	1925	5700
252	1932	5690
253	1940	5685
254	1947	5675
255	1955	5666
256	1961	5656
257	1968	5645
258	1974	5635
259	1982	5626
260	1989	5617
261	1996	5607
262	2003	5598
263	2011	5591
264	2018	5584
265	2027	5578
266	2033	5568
267	2041	5559
268	2048	5550
269	2057	5547
270	2065	5540
271	2072	5531
272	2079	5523
273	2085	5511
274	2092	5501
275	2099	5492
276	2106	5482
277	2113	5472
278	2121	5466
279	2128	5458
280	2135	5449
281	2142	5439
282	2148	5428
283	2155	5419
284	2162	5409
285	2169	5400
286	2175	5388
287	2181	5379
288	2188	5369
289	2195	5360
290	2201	5348
291	2208	5340
292	2216	5333
293	2224	5326
294	2230	5315
295	2237	5307
296	2244	5298
297	2253	5292
298	2260	5284
299	2267	5275
300	2274	5267
301	2281	5258
302	2288	5249
303	2295	5239
304	2302	5230
305	2309	5221
306	2315	5211
307	2323	5204
308	2329	5194
309	2336	5185
310	2343	5177
311	2350	5168
312	2357	5159
313	2364	5150
314	2370	5140
315	2378	5132
316	2393	5141
317	2400	5133
318	2410	5131
319	2418	5124
320	2425	5115
321	2431	5104
322	2438	5096
323	2446	5088
324	2452	5078
325	2461	5074
326	2470	5069
327	2478	5062
328	2486	5055
329	2493	5047
330	2501	5040
331	2509	5033
332	2516	5024
333	2523	5016
334	2530	5009
335	2537	4999
336	2544	4990
337	2551	4982
338	2558	4974
339	2565	4965
340	2572	4957
341	2579	4948
342	2586	4940
343	2593	4931
344	2600	4921
345	2607	4912
346	2614	4904
347	2621	4896
348	2628	4887
349	2634	4878
350	2641	4868
351	2648	4859
352	2654	4850
353	2662	4843
354	2669	4835
355	2676	4826
356	2683	4818
357	2690	4809
358	2697	4800
359	2704	4792
360	2711	4784
361	2717	4775
362	2724	4766
363	2730	4755
364	2736	4746
365	2743	4737
366	2750	4728
367	2757	4720
368	2763	4711
369	2771	4703
370	2778	4695
371	2785	4687
372	2792	4679
373	2799	4671
374	2806	4663
375	2813	4654
376	2819	4645
377	2826	4636
378	2833	4627
379	2840	4619
380	2846	4609
381	2852	4600
382	2859	4592
383	2866	4583
384	2873	4575
385	2880	4566
386	2886	4557
387	2893	4549
388	2900	4540
389	2907	4533
390	2914	4524
391	2922	4517
392	2929	4509
393	2937	4502
394	2944	4494
395	2952	4489
396	2961	4482
397	2967	4474
398	2975	4466
399	2982	4458
400	2989	4450
401	2995	4441
402	3003	4434
403	3010	4426
404	3016	4416
405	3023	4409
406	3030	4400
407	3037	4393
408	3044	4384
409	3050	4375
410	3058	4368
411	3066	4361
412	3072	4352
413	3079	4344
414	3086	4336
415	3092	4327
416	3099	4318
417	3113	4320
418	3120	4312
419	3128	4304
420	3134	4296
421	3141	4287
422	3147	4278
423	3154	4270
424	3161	4262
425	3169	4255
